ID,Note,failure,fit_param_0,fit_param_1,fit_param_2,fit_param_3,fit_param_4,DNA,PEG4K 40%,RNAse inhibitor,NEB,Pmix,Ribosome,Magnesium acetate,Creatine phosphate,PPK,PolyP,Read_GFP-F-G35,Read_GFP-Gext,Read_GFP-M-G100,Product_plamGFP
PPK_20250611_A17_GFP-M-G100,,0.0,0.088172134,1.740514345,1.822570123,0.000932646,3.956641274,5.725714286,2.0,0.0,1.0,15.0,1.8,6.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_C11_GFP-M-G100,,0.0,0.082924074,2.609307121,1.374435817,0.000537022,4.034007479,5.725714286,2.0,0.0,1.0,15.0,1.8,7.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_C13_GFP-M-G100,,0.0,0.082796569,2.516930736,1.370576893,0.000859176,4.032159829,5.725714286,2.0,0.0,1.0,15.0,1.8,7.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_C17_GFP-M-G100,,0.0,0.084748751,2.557714308,1.356344741,0.000791829,4.031055204,5.725714286,2.0,0.0,1.0,15.0,1.8,7.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_E11_GFP-M-G100,,0.0,0.090140988,2.674747169,1.336197857,0.000908905,4.047166688,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_E14_GFP-M-G100,,0.0,0.09080574,2.639542957,1.340343927,0.001003162,4.050994655,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_E17_GFP-M-G100,,0.0,0.089344542,2.61737156,1.341818943,0.001078265,4.046990578,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_G11_GFP-M-G100,,0.0,0.07293438,2.813232675,1.28810264,0.000814367,4.071734953,5.725714286,2.0,0.0,1.0,15.0,1.8,9.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_G14_GFP-M-G100,,0.0,0.067622076,2.497633264,1.282565817,0.000986283,4.0499413,5.725714286,2.0,0.0,1.0,15.0,1.8,9.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_G17_GFP-M-G100,,0.0,0.073003277,2.80524885,1.281795086,0.000869795,4.074284623,5.725714286,2.0,0.0,1.0,15.0,1.8,9.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_I11_GFP-M-G100,,0.0,0.063589702,2.584295729,1.282524814,0.000882484,4.061625352,5.725714286,2.0,0.0,1.0,15.0,1.8,10.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_I14_GFP-M-G100,,0.0,0.056454901,2.554558736,1.289833907,0.000858611,4.057878859,5.725714286,2.0,0.0,1.0,15.0,1.8,10.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_I17_GFP-M-G100,,0.0,0.058299599,2.548609462,1.301682581,0.000882356,4.057201443,5.725714286,2.0,0.0,1.0,15.0,1.8,10.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_K11_GFP-M-G100,,0.0,0.04925615,2.940208698,1.261363204,0.000630699,4.097075195,5.725714286,2.0,0.0,1.0,15.0,1.8,11.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_K14_GFP-M-G100,,0.0,0.051164304,2.656664626,1.264810096,0.000764931,4.071278688,5.725714286,2.0,0.0,1.0,15.0,1.8,11.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_K17_GFP-M-G100,,0.0,0.054432843,2.644345845,1.261986859,0.000854442,4.069621094,5.725714286,2.0,0.0,1.0,15.0,1.8,11.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_M11_GFP-M-G100,,0.0,0.050190175,2.712156397,1.262550165,0.000590805,4.07963417,5.725714286,2.0,0.0,1.0,15.0,1.8,12.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_M14_GFP-M-G100,,0.0,0.048983311,2.721790882,1.236929156,0.000737306,4.079428382,5.725714286,2.0,0.0,1.0,15.0,1.8,12.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_M17_GFP-M-G100,,0.0,0.046096542,2.746792906,1.345731161,0.000302848,4.08415259,5.725714286,2.0,0.0,1.0,15.0,1.8,12.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250612_A19_GFP-F-G35,,1.0,0.00017615,0.423277343,4.833333114,-1.14e-05,3.996645511,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,20.0,0.0,30.0,1.0,0.0,0.0,1.0
PPK_20250612_A21_GFP-F-G35,,1.0,0.000132537,0.344083531,3.333333073,-6.84e-06,3.99664502,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,20.0,0.0,30.0,1.0,0.0,0.0,1.0
PPK_20250612_A23_GFP-F-G35,,1.0,0.000156056,0.380949681,4.833333153,-9.38e-06,3.996645125,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,20.0,0.0,30.0,1.0,0.0,0.0,1.0
PPK_20250612_C19_GFP-F-G35,,1.0,0.000219146,0.438352766,5.249999791,-1.2e-05,3.996645999,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250612_C21_GFP-F-G35,,1.0,0.000194512,0.432428787,4.749999729,-1.11e-05,3.996645671,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250612_C23_GFP-F-G35,,1.0,0.000162668,0.386470113,4.166666385,-8.48e-06,3.99664515,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250612_E19_GFP-F-G35,,1.0,0.000154859,0.48484509,4.083332974,-1.1e-05,3.996645487,5.725714286,2.0,0.0,1.0,15.0,1.8,10.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250612_E21_GFP-F-G35,,1.0,0.000200967,0.438352591,4.833333075,-1.22e-05,3.996645879,5.725714286,2.0,0.0,1.0,15.0,1.8,10.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250612_E23_GFP-F-G35,,1.0,9.82e-05,0.444444824,0.499999349,-3.16e-06,3.996644947,5.725714286,2.0,0.0,1.0,15.0,1.8,10.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250612_G19_GFP-F-G35,,1.0,0.000301756,0.747659995,5.166666689,-1.77e-05,3.99665354,5.725714286,2.0,0.0,1.0,15.0,1.8,12.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250612_G21_GFP-F-G35,,1.0,0.000224374,0.755898998,3.833332188,-1.35e-05,3.996646876,5.725714286,2.0,0.0,1.0,15.0,1.8,12.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250612_G23_GFP-F-G35,,1.0,0.000378232,0.953181053,3.999998258,-1.44e-05,3.996647697,5.725714286,2.0,0.0,1.0,15.0,1.8,12.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250612_I19_GFP-F-G35,,0.0,0.012873996,1.643367853,2.249244022,0.000182066,3.962431353,5.725714286,2.0,0.0,1.0,15.0,1.8,14.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250612_I21_GFP-F-G35,,0.0,0.013795911,1.663706101,2.249184004,0.000158655,3.964084904,5.725714286,2.0,0.0,1.0,15.0,1.8,14.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250612_I23_GFP-F-G35,,0.0,0.021052046,1.757721297,1.915147621,0.000224606,3.972222467,5.725714286,2.0,0.0,1.0,15.0,1.8,14.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250612_A19_GFP-M-G100,,1.0,2.52e-05,5.111110988,2.260546714,-4.36e-06,4.255526083,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,20.0,0.0,30.0,0.0,0.0,1.0,1.0
PPK_20250612_A21_GFP-M-G100,,1.0,3.45e-05,4.345678787,3.343885134,-7.69e-06,4.236425092,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,20.0,0.0,30.0,0.0,0.0,1.0,1.0
PPK_20250612_A23_GFP-M-G100,,1.0,5.16e-05,5.111111019,5.260562983,-7.43e-06,4.255492452,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,20.0,0.0,30.0,0.0,0.0,1.0,1.0
PPK_20250612_C19_GFP-M-G100,,1.0,8.7e-05,4.84848501,5.843895255,-6.75e-06,4.253196475,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250612_C21_GFP-M-G100,,1.0,6.75e-05,3.692307652,5.427226938,-7.19e-06,4.191860012,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250612_C23_GFP-M-G100,,1.0,3.41e-05,4.444444214,2.84388145,-6.6e-06,4.241069953,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250612_E19_GFP-M-G100,,1.0,4.09e-05,3.839999752,3.760554484,-7.94e-06,4.203838502,5.725714286,2.0,0.0,1.0,15.0,1.8,10.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250612_E21_GFP-M-G100,,1.0,2.86e-05,3.999999968,0.843886602,-2.33e-06,4.215290371,5.725714286,2.0,0.0,1.0,15.0,1.8,10.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250612_E23_GFP-M-G100,,1.0,2.95e-05,5.142857168,1.343891723,-3.64e-06,4.25585828,5.725714286,2.0,0.0,1.0,15.0,1.8,10.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250612_G19_GFP-M-G100,,1.0,7.58e-05,2.909090557,4.84389168,-8.66e-06,4.107604871,5.725714286,2.0,0.0,1.0,15.0,1.8,12.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250612_G21_GFP-M-G100,,1.0,0.000224508,2.081301158,5.927224427,-9.67e-06,4.005680263,5.725714286,2.0,0.0,1.0,15.0,1.8,12.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250612_G23_GFP-M-G100,,1.0,8.99e-05,2.550723405,3.010549631,-5.29e-06,4.062826078,5.725714286,2.0,0.0,1.0,15.0,1.8,12.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250612_I19_GFP-M-G100,,0.0,0.005391984,1.634797346,2.260239347,8.28e-05,3.961910136,5.725714286,2.0,0.0,1.0,15.0,1.8,14.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250612_I21_GFP-M-G100,,0.0,0.005851523,1.672758516,2.260204329,7.55e-05,3.964972893,5.725714286,2.0,0.0,1.0,15.0,1.8,14.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250612_I23_GFP-M-G100,,0.0,0.009283069,1.725399608,2.009925398,6.55e-05,3.969457438,5.725714286,2.0,0.0,1.0,15.0,1.8,14.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250613_I1_GFP-F-G35,,0.0,0.008974612,1.377843692,2.499635315,0.00011721,3.941732098,5.725714286,2.0,0.0,1.0,15.0,1.8,14.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250613_I4_GFP-F-G35,,0.0,0.007559945,1.336832585,2.583048879,0.000115494,3.939800457,5.725714286,2.0,0.0,1.0,15.0,1.8,14.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250613_I7_GFP-F-G35,,0.0,0.011109086,1.579384053,2.416113944,6.73e-05,3.954190003,5.725714286,2.0,0.0,1.0,15.0,1.8,14.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250613_K1_GFP-F-G35,,0.0,0.055501111,4.609334134,0.934610472,0.00088268,4.243902295,5.725714286,2.0,0.0,1.0,15.0,1.8,16.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250613_K4_GFP-F-G35,,0.0,0.054909552,4.614706634,0.923347497,0.000868869,4.243993282,5.725714286,2.0,0.0,1.0,15.0,1.8,16.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250613_K7_GFP-F-G35,,0.0,0.054887179,4.6328282,0.913237928,0.000867154,4.244675509,5.725714286,2.0,0.0,1.0,15.0,1.8,16.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250613_M1_GFP-F-G35,,0.0,0.058405103,4.67693971,0.930216173,0.000986059,4.245856932,5.725714286,2.0,0.0,1.0,15.0,1.8,18.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250613_M4_GFP-F-G35,,0.0,0.055378798,4.79218467,0.907763067,0.000868478,4.250240045,5.725714286,2.0,0.0,1.0,15.0,1.8,18.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250613_M7_GFP-F-G35,,0.0,0.052713883,4.846884327,0.894593799,0.000774039,4.251661235,5.725714286,2.0,0.0,1.0,15.0,1.8,18.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250613_O1_GFP-F-G35,,0.0,0.050589906,4.79596331,0.964137015,0.000723992,4.251031084,5.725714286,2.0,0.0,1.0,15.0,1.8,20.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250613_O4_GFP-F-G35,,0.0,0.050972422,4.721502832,0.9499264,0.000821205,4.246027328,5.725714286,2.0,0.0,1.0,15.0,1.8,20.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250613_O7_GFP-F-G35,,0.0,0.046453508,4.855639303,0.940909725,0.00067404,4.250974996,5.725714286,2.0,0.0,1.0,15.0,1.8,20.0,0.0,2.0,30.0,1.0,0.0,0.0,1.0
PPK_20250613_I1_GFP-M-G100,,0.0,0.003570786,1.491740549,2.58956973,1.91e-05,3.9483201,5.725714286,2.0,0.0,1.0,15.0,1.8,14.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250613_I4_GFP-M-G100,,0.0,0.003010463,1.380800084,2.589603839,4.31e-05,3.942029417,5.725714286,2.0,0.0,1.0,15.0,1.8,14.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250613_I7_GFP-M-G100,,0.0,0.004328209,1.555136295,2.422842916,3.56e-05,3.952544522,5.725714286,2.0,0.0,1.0,15.0,1.8,14.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250613_K1_GFP-M-G100,,0.0,0.028795578,4.179505421,1.004811707,0.000465509,4.224615384,5.725714286,2.0,0.0,1.0,15.0,1.8,16.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250613_K4_GFP-M-G100,,0.0,0.028715688,4.142281331,1.004805853,0.000446574,4.222343499,5.725714286,2.0,0.0,1.0,15.0,1.8,16.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250613_K7_GFP-M-G100,,0.0,0.028294249,4.189525403,1.004806214,0.000378776,4.225227146,5.725714286,2.0,0.0,1.0,15.0,1.8,16.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
PPK_20250613_M1_GFP-M-G100,,0.0,0.027877485,4.227530067,1.004812384,0.000455321,4.227435174,5.725714286,2.0,0.0,1.0,15.0,1.8,18.0,0.0,2.0,30.0,0.0,0.0,1.0,1.0
