Time,Temperature,Well,Data,Row,Column,Read,Plate,Clock Time,Reader,Experiment,Name,Type,[DNA] (nM),[PEG4K 40%] (%),[RNAse Inhib] (U/mL),[PMix] (mg/mL),[Ribosome] (uM),Rxn Volume (uL),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM),[HEPES] (mM),[PPK] (uM),[PolyP] (mM),[ATP] (mM),[GTP] (mM),[CTP] (mM),[UTP] (mM),[TCEP] (mM),[Folinic acid] (mM),[Spermidine] (mM),[Amino acid mix] (mM),[tRNA] (ug/uL),IsNEB,Product,HasMgAR953,Date,Gain,Read Type,Read_new,data_normalized
0 days 01:10:23,37.0,G8,27807,G,8,GFP-M-Gext,1,2026-03-09 13:41:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.002926138008945046
0 days 01:15:23,37.1,G8,29013,G,8,GFP-M-Gext,1,2026-03-09 13:46:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0030530457098400625
0 days 01:20:23,37.0,G8,30098,G,8,GFP-M-Gext,1,2026-03-09 13:51:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0031672205485391448
0 days 01:25:23,37.0,G8,30660,G,8,GFP-M-Gext,1,2026-03-09 13:56:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0032263599580772866
0 days 01:30:23,37.0,G8,31305,G,8,GFP-M-Gext,1,2026-03-09 14:01:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003294233479700243
0 days 01:35:23,37.0,G8,31752,G,8,GFP-M-Gext,1,2026-03-09 14:06:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033412714086389437
0 days 01:40:23,37.0,G8,31937,G,8,GFP-M-Gext,1,2026-03-09 14:11:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033607390078641327
0 days 01:45:23,37.0,G8,31836,G,8,GFP-M-Gext,1,2026-03-09 14:16:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.00335011075098984
0 days 01:50:23,37.0,G8,32304,G,8,GFP-M-Gext,1,2026-03-09 14:21:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033993585155162646
0 days 01:55:23,37.1,G8,32377,G,8,GFP-M-Gext,1,2026-03-09 14:26:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003407040324940258
0 days 02:00:23,37.0,G8,32303,G,8,GFP-M-Gext,1,2026-03-09 14:31:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033992532852501825
0 days 02:05:23,37.0,G8,32388,G,8,GFP-M-Gext,1,2026-03-09 14:36:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0034081978578671614
0 days 02:10:23,37.1,G8,32683,G,8,GFP-M-Gext,1,2026-03-09 14:41:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003439240786361382
0 days 02:15:23,37.1,G8,32397,G,8,GFP-M-Gext,1,2026-03-09 14:46:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0034091449302619003
0 days 02:20:23,37.0,G8,32580,G,8,GFP-M-Gext,1,2026-03-09 14:51:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003428402068954925
0 days 02:25:23,37.0,G8,32402,G,8,GFP-M-Gext,1,2026-03-09 14:56:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0034096710815923106
0 days 02:30:23,37.0,G8,32446,G,8,GFP-M-Gext,1,2026-03-09 15:01:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003414301213299923
0 days 02:35:23,37.0,G8,32290,G,8,GFP-M-Gext,1,2026-03-09 15:06:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003397885291791115
0 days 02:40:23,37.0,G8,32236,G,8,GFP-M-Gext,1,2026-03-09 15:11:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033922028574226814
0 days 02:45:23,37.0,G8,32338,G,8,GFP-M-Gext,1,2026-03-09 15:16:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003402936344563056
0 days 02:50:23,37.0,G8,32274,G,8,GFP-M-Gext,1,2026-03-09 15:21:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033962016075338016
0 days 02:55:23,37.0,G8,32235,G,8,GFP-M-Gext,1,2026-03-09 15:26:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033920976271565994
0 days 03:00:23,36.9,G8,32133,G,8,GFP-M-Gext,1,2026-03-09 15:31:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033813641400162247
0 days 03:05:23,37.0,G8,32306,G,8,GFP-M-Gext,1,2026-03-09 15:36:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033995689760484287
0 days 03:10:23,37.0,G8,32483,G,8,GFP-M-Gext,1,2026-03-09 15:41:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0034181947331449612
0 days 03:15:23,37.0,G8,32272,G,8,GFP-M-Gext,1,2026-03-09 15:46:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003395991147001637
0 days 03:20:23,37.0,G8,32028,G,8,GFP-M-Gext,1,2026-03-09 15:51:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003370314962077604
0 days 03:25:23,37.0,G8,31803,G,8,GFP-M-Gext,1,2026-03-09 15:56:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003346638152209131
0 days 03:30:23,37.0,G8,32251,G,8,GFP-M-Gext,1,2026-03-09 16:01:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003393781311413913
0 days 03:35:23,37.0,G8,32055,G,8,GFP-M-Gext,1,2026-03-09 16:06:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033731561792618206
0 days 03:40:23,37.1,G8,31674,G,8,GFP-M-Gext,1,2026-03-09 16:11:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033330634478845396
0 days 03:45:23,37.0,G8,31758,G,8,GFP-M-Gext,1,2026-03-09 16:16:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003341902790235436
0 days 03:50:23,37.0,G8,31955,G,8,GFP-M-Gext,1,2026-03-09 16:21:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033626331526536105
0 days 03:55:23,37.0,G8,31914,G,8,GFP-M-Gext,1,2026-03-09 16:26:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003358318711744244
0 days 04:00:23,37.0,G8,32032,G,8,GFP-M-Gext,1,2026-03-09 16:31:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033707358831419326
0 days 04:05:23,37.1,G8,31626,G,8,GFP-M-Gext,1,2026-03-09 16:36:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033280123951125984
0 days 04:10:23,37.1,G8,31629,G,8,GFP-M-Gext,1,2026-03-09 16:41:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003328328085910845
0 days 04:15:23,37.0,G8,31818,G,8,GFP-M-Gext,1,2026-03-09 16:46:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033482166062003623
0 days 04:20:23,37.0,G8,31944,G,8,GFP-M-Gext,1,2026-03-09 16:51:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033614756197267075
0 days 04:25:23,37.0,G8,31788,G,8,GFP-M-Gext,1,2026-03-09 16:56:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033450596982178993
0 days 04:30:23,37.1,G8,31770,G,8,GFP-M-Gext,1,2026-03-09 17:01:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033431655534284215
0 days 04:35:23,37.0,G8,31748,G,8,GFP-M-Gext,1,2026-03-09 17:06:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003340850487574615
0 days 04:40:23,37.0,G8,31685,G,8,GFP-M-Gext,1,2026-03-09 17:11:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033342209808114426
0 days 04:45:23,37.0,G8,31893,G,8,GFP-M-Gext,1,2026-03-09 17:16:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.00335610887615652
0 days 04:50:23,37.1,G8,31847,G,8,GFP-M-Gext,1,2026-03-09 17:21:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033512682839167435
0 days 04:55:23,37.1,G8,31772,G,8,GFP-M-Gext,1,2026-03-09 17:26:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033433760139605856
0 days 05:00:23,37.1,G8,31651,G,8,GFP-M-Gext,1,2026-03-09 17:31:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003330643151764651
0 days 05:05:23,37.0,G8,31809,G,8,GFP-M-Gext,1,2026-03-09 17:36:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033472695338056233
0 days 05:10:23,37.0,G8,31897,G,8,GFP-M-Gext,1,2026-03-09 17:41:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033565297972208484
0 days 05:15:23,37.0,G8,31986,G,8,GFP-M-Gext,1,2026-03-09 17:46:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.003365895290902156
0 days 05:20:23,37.0,G8,31499,G,8,GFP-M-Gext,1,2026-03-09 17:51:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0033146481513201716
