ID,Well,Date,Experiment,Name,Type,PMix ID,[PMix] (mg/mL),Ribosome ID,[Ribosome] (uM),SMS ID,tRNA ID,[tRNA] (ug/uL),DNA ID,[DNA] (ng/uL),PMix Vol (uL),Rxn Volume (uL),[DNA] (nM),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM),[ATP] (mM),[GTP] (mM),[Amino acid mix] (mM),[HEPES] (mM),[PPK] (uM),[PolyP] (mM),[CTP] (mM),[UTP] (mM),[TCEP] (mM),[Folinic acid] (mM),[Spermidine] (mM),[RNase Inhib] (U/mL),Reader Type,Reader Serial Number,Gain,Read Type,HEPES ID,Potassium glutamate ID,Magnesium acetate ID,ATP ID,GTP ID,CTP ID,UTP ID,Creatine phosphate ID,TCEP ID,Folinic acid ID,Spermidine ID,Amino acid mix ID,PolyP ID,PPK ID,[PEG4K 40%] (%),Product,RNase Inhib ID,Condition,success,sigmoid_steady_state,sigmoid_rate (1/h),sigmoid_time_offset (h),drift_rate (1/h),drift_rate_time_offset (h)
NIST-standards-PURExpress-plamGFP-deGFP-D4,D4,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,deGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-889,19.173,3.0,10.0,10.420108695652171,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation3,130723A,35,F,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,deGFP,Unknown,R&D,True,1.0247021361537865,2.4951216554907187,1.0571429464264217,0.015666560183438,6.0
NIST-standards-PURExpress-plamGFP-deGFP-D4,D4,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,deGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-889,19.173,3.0,10.0,10.420108695652171,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,deGFP,Unknown,R&D,True,1.166313427840265,2.4992821729744072,0.947509109452546,0.0150175312668228,6.030555555555556
NIST-standards-PURExpress-plamGFP-deGFP-D4,D4,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,deGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-889,19.173,3.0,10.0,10.420108695652171,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Synergy 2,206621,50,F,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,deGFP,Unknown,R&D,True,1.719558525589332,2.566238544356969,0.9998725498705086,0.019447078327685,6.0
NIST-standards-PURExpress-plamGFP-deGFP-F2,F2,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,plamGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-804,6.2744,3.0,10.0,3.2850261780104715,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation3,130723A,35,F,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,plamGFP,Unknown,R&D,True,1.306241909635651,2.878583669780605,1.537132487020719,0.0389299706758556,1.876844159035743
NIST-standards-PURExpress-plamGFP-deGFP-F2,F2,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,plamGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-804,6.2744,3.0,10.0,3.2850261780104715,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,plamGFP,Unknown,R&D,True,1.7769011883536865,2.303777758071496,1.4316482297916764,0.0353080760270831,4.1875804462389326
NIST-standards-PURExpress-plamGFP-deGFP-F2,F2,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,plamGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-804,6.2744,3.0,10.0,3.2850261780104715,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Synergy 2,206621,50,F,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,plamGFP,Unknown,R&D,True,2.401764253621179,2.474051638087644,1.4859522921959605,0.0519916912825032,2.928119418612414
NIST-standards-PURExpress-plamGFP-deGFP-F4,F4,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,deGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-889,19.173,3.0,10.0,10.420108695652171,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation3,130723A,35,F,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,deGFP,Unknown,R&D,True,1.0418164308563094,2.4826366112372553,1.062138626931144,0.0158854231975432,6.0
NIST-standards-PURExpress-plamGFP-deGFP-F4,F4,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,deGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-889,19.173,3.0,10.0,10.420108695652171,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,deGFP,Unknown,R&D,True,1.1496604843213576,2.5021418663142323,0.9379093077316488,0.0150586409089691,6.030555555555556
NIST-standards-PURExpress-plamGFP-deGFP-F4,F4,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,deGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-889,19.173,3.0,10.0,10.420108695652171,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Synergy 2,206621,50,F,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,deGFP,Unknown,R&D,True,1.6970582984168257,2.5853445350675797,1.023562783403147,0.0148657384018193,5.740694425318049
Pmix-MFG-116-B2,B2,2025-12-18 00:00:00,Pmix-MFG-116,AR-925,Sample,AR-925,1.8,AR-907,3.24,AR-895,AR-900,3.5,Unknown,6.0,1.2,10.0,3.141361256544503,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,plamGFP,Unknown,MFG,True,0.9004638958490491,4.3333112553577315,0.7014920402804686,0.0063940964972891,6.006388888888889
Pmix-MFG-116-B4,B4,2025-12-18 00:00:00,Pmix-MFG-116,AR-926,Sample,AR-926,1.8,AR-907,3.24,AR-895,AR-900,3.5,Unknown,6.0,1.2,10.0,3.141361256544503,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,plamGFP,Unknown,MFG,True,0.968493427232644,4.402443816132964,0.6840263489809336,0.0068979823986438,6.006388888888889
Pmix-MFG-116-B6,B6,2025-12-18 00:00:00,Pmix-MFG-116,Positive,Positive Control,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,Unknown,6.0,3.0,10.0,3.141361256544503,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,plamGFP,Unknown,MFG,True,0.8697565018949384,2.2081919685228635,1.214328129041745,0.0102330574737741,6.006388888888889
Pmix-MFG-116-B8,B8,2025-12-18 00:00:00,Pmix-MFG-116,Negative,Negative Control,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,Unknown,0.0,3.0,10.0,0.0,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,0.0,Cytation5,1705168,ext,M,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,Unknown,Unknown,MFG,False,0.0028542532880231,,,,
Pmix-MFG-116-D2,D2,2025-12-18 00:00:00,Pmix-MFG-116,AR-925,Sample,AR-925,1.8,AR-907,3.24,AR-895,AR-901,3.5,Unknown,6.0,1.2,10.0,3.141361256544503,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,plamGFP,Unknown,MFG,True,0.9496988408374823,4.360317344928317,0.6923607771191045,0.0066269568836129,6.006388888888889
Pmix-MFG-116-D4,D4,2025-12-18 00:00:00,Pmix-MFG-116,AR-926,Sample,AR-926,1.8,AR-907,3.24,AR-895,AR-901,3.5,Unknown,6.0,1.2,10.0,3.141361256544503,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,plamGFP,Unknown,MFG,True,0.974581944242712,4.436501458816135,0.6780755052977967,0.0070385955845813,6.006388888888889
Pmix-MFG-116-D6,D6,2025-12-18 00:00:00,Pmix-MFG-116,Positive,Positive Control,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,Unknown,6.0,3.0,10.0,3.141361256544503,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,plamGFP,Unknown,MFG,True,0.8509767606232906,2.181980844929098,1.1707667664468555,0.0111846014699182,6.006388888888889
Pmix-MFG-116-F2,F2,2025-12-18 00:00:00,Pmix-MFG-116,AR-925,Sample,AR-925,1.8,AR-907,3.24,AR-895,AR-902,3.5,Unknown,6.0,1.2,10.0,3.141361256544503,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,plamGFP,Unknown,MFG,True,0.933397830121879,4.398576850885741,0.6831174482081533,0.0066131443172976,6.006388888888889
Pmix-MFG-116-F4,F4,2025-12-18 00:00:00,Pmix-MFG-116,AR-926,Sample,AR-926,1.8,AR-907,3.24,AR-895,AR-902,3.5,Unknown,6.0,1.2,10.0,3.141361256544503,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,plamGFP,Unknown,MFG,True,0.977643205598536,4.463672253101466,0.6682616584206151,0.0072531659600975,6.006388888888889
Pmix-MFG-116-F6,F6,2025-12-18 00:00:00,Pmix-MFG-116,Positive,Positive Control,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,Unknown,6.0,3.0,10.0,3.141361256544503,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,plamGFP,Unknown,MFG,True,0.861968415229186,2.1733293197673773,1.204308648916643,0.0106224228407482,6.006388888888889
PMix_(AR-931)_QC_PURE_Timecourse-B10,B10,2026-01-05 00:00:00,PMix_(AR-931)_QC_PURE_Timecourse,Positive Control,Positive Control,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-931,5.9,1.2,10.0,3.0890052356020945,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,plamGFP,Unknown,MFG,True,0.9528877523855926,2.1733628206288484,1.3078073532217498,0.0116697456574123,6.010277777777778
PMix_(AR-931)_QC_PURE_Timecourse-B2,B2,2026-01-05 00:00:00,PMix_(AR-931)_QC_PURE_Timecourse,AR-931 + AR-906,Sample,AR-931,1.8,AR-906,3.24,AR-895,AR-901,3.5,AR-931,5.9,1.2,10.0,3.0890052356020945,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,plamGFP,Unknown,MFG,True,1.0174611122607176,3.975078124144509,0.8658120818941998,0.0054814470924977,6.010277777777778
PMix_(AR-931)_QC_PURE_Timecourse-B6,B6,2026-01-05 00:00:00,PMix_(AR-931)_QC_PURE_Timecourse,AR-931 + AR-855,Sample,AR-931,1.8,AR-855,1.8,AR-895,AR-901,3.5,AR-931,5.9,1.2,10.0,3.0890052356020945,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,plamGFP,Unknown,MFG,True,0.964858402128646,3.2756929603651677,0.9015641835474232,0.0090977841603068,6.010277777777778
