ID,Note,[DNA] (nM),[PEG4K 40%] (%),[RNAse Inhib] (U/mL),IsNEB,[PMix] (mg/mL),[Ribosome] (uM),Rxn Volume (uL),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[PPK] (uM),[PolyP] (mM),[Potassium glutamate] (mM),sigmoid_steady_state (ng/uL),sigmoid_rate (1/h),sigmoid_time_offset (h),success,isplamGFP
PPK_20250612_A19,,2.996187486,2,0,1,1.8,1.8,10,8,20,0,30,100,0.02565014,5.841269841,2.260555553,0,1
PPK_20250612_A21,,2.996187486,2,0,1,1.8,1.8,10,8,20,0,30,100,0.065596293,5.333333333,3.343888885,0,1
PPK_20250612_A23,,2.996187486,2,0,1,1.8,1.8,10,8,20,0,30,100,0.024857574,4.771929824,2.17722222,0,1
PPK_20250612_C19,,2.996187486,2,0,1,1.8,1.8,10,8,0,2,30,100,0.02740259,4.317460317,1.67722222,0,1
PPK_20250612_C21,,2.996187486,2,0,1,1.8,1.8,10,8,0,2,30,100,0.03243722,3.368421053,1.510555556,0,1
PPK_20250612_C23,,2.996187486,2,0,1,1.8,1.8,10,8,0,2,30,100,0.033395238,4.444444443,2.843888886,0,1
PPK_20250612_E19,,2.996187486,2,0,1,1.8,1.8,10,10,0,2,30,100,0.03676185,3.84,3.760555554,0,1
PPK_20250612_E21,,2.996187486,2,0,1,1.8,1.8,10,10,0,2,30,100,0.032755316,5.090909091,0.843888887,0,1
PPK_20250612_E23,,2.996187486,2,0,1,1.8,1.8,10,10,0,2,30,100,0.032631552,5.76,1.343888886,0,1
PPK_20250612_G19,,2.996187486,2,0,1,1.8,1.8,10,12,0,2,30,100,0.03577383,2.909090909,2.260555555,0,1
PPK_20250612_G21,,2.996187486,2,0,1,1.8,1.8,10,12,0,2,30,100,0.040647827,3.555555555,2.010555555,0,1
PPK_20250612_G23,,2.996187486,2,0,1,1.8,1.8,10,12,0,2,30,100,0.066982452,4.631578947,3.010555555,0,1
PPK_20250612_I19,,2.996187486,2,0,1,1.8,1.8,10,14,0,2,30,100,5.490792456,1.700964657,2.352722821,1,1
PPK_20250612_I21,,2.996187486,2,0,1,1.8,1.8,10,14,0,2,30,100,5.967736167,1.715593496,2.330842218,1,1
PPK_20250612_I23,,2.996187486,2,0,1,1.8,1.8,10,14,0,2,30,100,9.426942442,1.728542408,2.010440592,1,1
PPK_20250613_I1,,2.996187486,2,0,1,1.8,1.8,10,14,0,2,30,100,3.59569204,1.533151486,2.589722497,1,1
PPK_20250613_I4,,2.996187486,2,0,1,1.8,1.8,10,14,0,2,30,100,3.018505328,1.427350318,2.589722813,1,1
PPK_20250613_I7,,2.996187486,2,0,1,1.8,1.8,10,14,0,2,30,100,4.401913337,1.555228029,2.42305639,1,1
PPK_20250613_K1,,2.996187486,2,0,1,1.8,1.8,10,16,0,2,30,100,28.57251866,3.884234473,1.059149589,1,1
PPK_20250613_K4,,2.996187486,2,0,1,1.8,1.8,10,16,0,2,30,100,29.21039295,3.588864759,1.07743286,1,1
PPK_20250613_K7,,2.996187486,2,0,1,1.8,1.8,10,16,0,2,30,100,28.63611883,3.70684762,1.054083985,1,1
PPK_20250613_M1,,2.996187486,2,0,1,1.8,1.8,10,18,0,2,30,100,28.14036061,3.841265265,1.06923426,1,1
PPK_20250613_M4,,2.996187486,2,0,1,1.8,1.8,10,18,0,2,30,100,28.35930549,4.158279077,1.023468102,1,1
PPK_20250613_M7,,2.996187486,2,0,1,1.8,1.8,10,18,0,2,30,100,27.28578603,4.458757936,0.99850368,1,1
PPK_20250613_O1,,2.996187486,2,0,1,1.8,1.8,10,20,0,2,30,100,26.11893745,4.096020404,1.076235592,1,1
PPK_20250613_O4,,2.996187486,2,0,1,1.8,1.8,10,20,0,2,30,100,24.47529395,4.083880332,1.064735899,1,1
PPK_20250613_O7,,2.996187486,2,0,1,1.8,1.8,10,20,0,2,30,100,22.5051975,4.620173178,1.028907117,1,1
PPK_20250616_A1,,2.996187486,2,0,1,1.8,1.8,10,8,20,0,0,100,56.09666676,2.979131001,1.470962276,1,1
PPK_20250616_A4,,2.996187486,2,0,1,1.8,1.8,10,8,20,0,0,100,59.29813636,2.961165564,1.468948591,1,1
PPK_20250616_A7,,2.996187486,2,0,1,1.8,1.8,10,8,20,0,0,100,54.79977165,2.890596982,1.473110378,1,1
PPK_20250616_E1,,2.996187486,2,0,1,1.8,1.8,10,18,0,2,30,100,12.8863396,3.078024912,1.146529595,1,1
PPK_20250616_E4,,2.996187486,2,0,1,1.8,1.8,10,18,0,2,30,100,13.04576722,2.991312404,1.190461455,1,1
PPK_20250616_E7,,2.996187486,2,0,1,1.8,1.8,10,18,0,2,30,100,12.54084062,3.027670472,1.1730303,1,1
PPK_20250616_G1,,2.996187486,2,0,1,1.8,1.8,10,18,20,2,30,100,114.1176751,2.501160719,1.609529859,1,1
PPK_20250616_G4,,2.996187486,2,0,1,1.8,1.8,10,18,20,2,30,100,112.833345,2.511556523,1.598835985,1,1
PPK_20250616_G7,,2.996187486,2,0,1,1.8,1.8,10,18,20,2,30,100,110.5163358,2.542958768,1.583426176,1,1
Mg_K_screen-20251105_090558_A1,,5,0,2000,1,1.8,1.8,5,7,20,0,0,100,34.35991542,2.118991702,1.423245178,1,1
Mg_K_screen-20251105_090558_A2,,5,0,2000,1,1.8,1.8,5,7,20,0,0,120,44.28372759,2.105438829,1.450469979,1,1
Mg_K_screen-20251105_090558_A3,,5,0,2000,1,1.8,1.8,5,7,20,0,0,140,51.93148733,2.093026302,1.476566588,1,1
Mg_K_screen-20251105_090558_B1,,5,0,2000,1,1.8,1.8,5,7,20,0,0,120,36.23095769,2.093843886,1.460774871,1,1
Mg_K_screen-20251105_090558_B2,,5,0,2000,1,1.8,1.8,5,7,20,0,0,100,32.92119757,2.065217819,1.424504296,1,1
Mg_K_screen-20251105_090558_B3,,5,0,2000,1,1.8,1.8,5,9,20,0,0,100,28.11864843,2.298428048,1.375698936,1,1
Mg_K_screen-20251105_090558_C1,,5,0,2000,1,1.8,1.8,5,7,20,0,0,140,47.45487602,2.082246998,1.463887748,1,1
Mg_K_screen-20251105_090558_C2,,5,0,2000,1,1.8,1.8,5,15,20,0,0,140,3.814848667,2.049574117,1.709346766,1,1
Mg_K_screen-20251105_090558_C3,,5,0,2000,1,1.8,1.8,5,9,20,0,0,120,34.19633268,2.233603706,1.418939203,1,1
Mg_K_screen-20251105_090558_D1,,5,0,2000,1,1.8,1.8,5,9,20,0,0,100,21.68270205,2.379287336,1.345550254,1,1
Mg_K_screen-20251105_090558_D2,,5,0,2000,1,1.8,1.8,5,15,20,0,0,120,1.321292917,1.505226375,1.583334005,1,1
Mg_K_screen-20251105_090558_D3,,5,0,2000,1,1.8,1.8,5,9,20,0,0,140,41.03976645,2.181031401,1.456455446,1,1
Mg_K_screen-20251105_090558_E1,,5,0,2000,1,1.8,1.8,5,9,20,0,0,120,25.81982837,2.319396679,1.372860253,1,1
Mg_K_screen-20251105_090558_E2,,5,0,2000,1,1.8,1.8,5,15,20,0,0,100,0.992475314,1.438759634,1.666667032,1,1
Mg_K_screen-20251105_090558_E3,,5,0,2000,1,1.8,1.8,5,11,20,0,0,100,9.149197281,2.109898407,1.56545097,1,1
Mg_K_screen-20251105_090558_E4,,5,0,2000,1,1.8,1.8,5,15,20,0,0,140,1.756279471,1.635738627,1.500001783,0,1
Mg_K_screen-20251105_090558_F1,,5,0,2000,1,1.8,1.8,5,9,20,0,0,140,38.33479691,2.193584482,1.436147558,1,1
Mg_K_screen-20251105_090558_F2,,5,0,2000,1,1.8,1.8,5,13,20,0,0,140,5.942060381,2.150754744,1.660682927,1,1
Mg_K_screen-20251105_090558_F3,,5,0,2000,1,1.8,1.8,5,11,20,0,0,120,14.28386351,2.533095554,1.493648148,1,1
Mg_K_screen-20251105_090558_F4,,5,0,2000,1,1.8,1.8,5,15,20,0,0,120,1.193007188,1.494949386,1.583334123,0,1
Mg_K_screen-20251105_090558_G1,,5,0,2000,1,1.8,1.8,5,11,20,0,0,100,6.734980802,2.308228887,1.536300909,1,1
Mg_K_screen-20251105_090558_G2,,5,0,2000,1,1.8,1.8,5,13,20,0,0,120,4.317257686,1.9221082,1.758101583,1,1
Mg_K_screen-20251105_090558_G3,,5,0,2000,1,1.8,1.8,5,11,20,0,0,140,18.90845298,2.18365842,1.498857798,1,1
Mg_K_screen-20251105_090558_G4,,5,0,2000,1,1.8,1.8,5,15,20,0,0,100,0.715654265,1.367521336,1.750000196,1,1
Mg_K_screen-20251105_090558_H1,,5,0,2000,1,1.8,1.8,5,11,20,0,0,120,13.30228962,2.596748479,1.436222686,1,1
Mg_K_screen-20251105_090558_H2,,5,0,2000,1,1.8,1.8,5,13,20,0,0,100,1.974262659,1.679694608,1.333374518,0,1
Mg_K_screen-20251105_090558_H3,,5,0,2000,1,1.8,1.8,5,13,20,0,0,100,1.52327761,1.542168551,1.500001061,0,1
Mg_K_screen-20251105_090558_H4,,5,0,2000,1,1.8,1.8,5,13,20,0,0,140,5.513127094,2.121798728,1.69724226,1,1
Mg_K_screen-20251105_090558_I1,,5,0,2000,1,1.8,1.8,5,11,20,0,0,140,18.89869537,2.242707384,1.46022336,1,1
Mg_K_screen-20251105_090558_I2,,5,0,2000,1,1.8,1.8,5,11,20,0,0,140,20.70442646,2.411639771,1.414871213,1,1
Mg_K_screen-20251105_090558_I3,,5,0,2000,1,1.8,1.8,5,13,20,0,0,120,2.876758223,1.829171897,1.831840054,1,1
Mg_K_screen-20251105_090558_I4,,5,0,2000,1,1.8,1.8,5,13,20,0,0,120,3.14417211,1.868968947,1.816048711,1,1
Mg_K_screen-20251105_090558_J1,,5,0,2000,1,1.8,1.8,5,13,20,0,0,100,2.135413115,1.62770543,1.500001743,1,1
Mg_K_screen-20251105_090558_J2,,5,0,2000,1,1.8,1.8,5,11,20,0,0,120,15.16296739,2.502062096,1.488377139,1,1
Mg_K_screen-20251105_090558_J3,,5,0,2000,1,1.8,1.8,5,13,20,0,0,140,4.705080192,1.96914086,1.760917557,1,1
Mg_K_screen-20251105_090558_J4,,5,0,2000,1,1.8,1.8,5,13,20,0,0,100,1.450579961,1.576519788,1.500001048,0,1
Mg_K_screen-20251105_090558_K1,,5,0,2000,1,1.8,1.8,5,13,20,0,0,120,2.440701582,1.781095669,1.333390877,0,1
Mg_K_screen-20251105_090558_K2,,5,0,2000,1,1.8,1.8,5,11,20,0,0,100,8.821026395,2.493622771,1.475136918,1,1
Mg_K_screen-20251105_090558_K3,,5,0,2000,1,1.8,1.8,5,15,20,0,0,100,0.760980172,1.437125708,1.666666926,0,1
Mg_K_screen-20251105_090558_K4,,5,0,2000,1,1.8,1.8,5,11,20,0,0,140,15.56516152,2.516834304,1.500551104,1,1
Mg_K_screen-20251105_090558_L1,,5,0,2000,1,1.8,1.8,5,13,20,0,0,140,4.234454084,1.946658822,1.732725243,1,1
Mg_K_screen-20251105_090558_L2,,5,0,2000,1,1.8,1.8,5,9,20,0,0,140,39.32535203,2.22614414,1.4333711,1,1
Mg_K_screen-20251105_090558_L3,,5,0,2000,1,1.8,1.8,5,15,20,0,0,120,1.12811247,1.456492544,1.583334003,0,1
Mg_K_screen-20251105_090558_L4,,5,0,2000,1,1.8,1.8,5,11,20,0,0,120,11.09476807,2.434288815,1.527570819,1,1
Mg_K_screen-20251105_090558_M1,,5,0,2000,1,1.8,1.8,5,15,20,0,0,100,0.523506286,1.728395057,1.583333353,1,1
Mg_K_screen-20251105_090558_M2,,5,0,2000,1,1.8,1.8,5,9,20,0,0,120,33.61864909,2.236628513,1.411574083,1,1
Mg_K_screen-20251105_090558_M3,,5,0,2000,1,1.8,1.8,5,15,20,0,0,140,1.639223458,1.664824867,1.500001501,0,1
Mg_K_screen-20251105_090558_M4,,5,0,2000,1,1.8,1.8,5,11,20,0,0,100,7.122961703,2.331068141,1.563033759,1,1
Mg_K_screen-20251105_090558_N1,,5,0,2000,1,1.8,1.8,5,15,20,0,0,120,1.419702593,1.58333311,1.333334943,0,1
Mg_K_screen-20251105_090558_N2,,5,0,2000,1,1.8,1.8,5,9,20,0,0,100,22.14014552,2.284722755,1.361627763,1,1
Mg_K_screen-20251105_090558_N3,,5,0,2000,1,1.8,1.8,5,7,20,0,0,100,27.30114711,1.99470741,1.498439181,1,1
Mg_K_screen-20251105_090558_N4,,5,0,2000,1,1.8,1.8,5,9,20,0,0,140,32.62810438,2.12900835,1.466613312,1,1
Mg_K_screen-20251105_090558_O1,,5,0,2000,1,1.8,1.8,5,15,20,0,0,140,2.417631265,1.777779475,1.416719841,0,1
Mg_K_screen-20251105_090558_O2,,5,0,2000,1,1.8,1.8,5,7,20,0,0,140,52.57124021,2.084276256,1.473835289,1,1
Mg_K_screen-20251105_090558_O3,,5,0,2000,1,1.8,1.8,5,7,20,0,0,120,38.14151565,2.081534679,1.476638856,1,1
Mg_K_screen-20251105_090558_O4,,5,0,2000,1,1.8,1.8,5,9,20,0,0,120,26.7364982,2.162077441,1.433299519,1,1
Mg_K_screen-20251105_090558_P1,,5,0,2000,1,1.8,1.8,5,7,20,0,0,100,35.94281801,2.08842848,1.439968484,1,1
Mg_K_screen-20251105_090558_P2,,5,0,2000,1,1.8,1.8,5,7,20,0,0,120,46.24830149,2.120362518,1.438153916,1,1
Mg_K_screen-20251105_090558_P3,,5,0,2000,1,1.8,1.8,5,7,20,0,0,140,44.24601942,2.091836262,1.455216354,1,1
Mg_K_screen-20251105_090558_P4,,5,0,2000,1,1.8,1.8,5,9,20,0,0,100,20.54736602,2.272598825,1.36539955,1,1
GES-7,,1.00000002,-9.60E-09,2000.000003,5.25E-09,1.767172488,1.799999951,9.999999959,0.150808484,100.0000014,-1.23E-08,-2.59E-07,60.00000111,0,,,0,-3.50E-08
GES-9,,19.99999901,-9.60E-09,2000.000003,5.25E-09,2.120920132,1.799999951,9.999999959,0.00E+00,-3.91E-07,-1.23E-08,-2.59E-07,199.9999972,0,,,0,-3.50E-08
GES-10,,1.00000002,-9.60E-09,2000.000003,5.25E-09,1.682654481,1.799999951,9.999999959,0.00E+00,80.13730333,-1.23E-08,-2.59E-07,190.8472809,0,,,0,-3.50E-08
GES-13,,8.613216311,-9.60E-09,2000.000003,5.25E-09,1.529999978,1.799999951,9.999999959,0.00E+00,79.61555691,-1.23E-08,-2.59E-07,199.9999972,0,,,0,-3.50E-08
