ID,Note,[DNA] (nM),[PEG4K 40%] (%),[RNAse Inhib] (U/mL),IsNEB,[PMix] (mg/mL),[Ribosome] (uM),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[PPK] (uM),[PolyP] (mM),[Potassium glutamate] (mM),sigmoid_steady_state (ng/uL),sigmoid_rate (1/h),sigmoid_time_offset (h),failure,isplamGFP
PMix-MFG-128-PURE-Activity-QC_F4,,3.206521739,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,56.95568228096034,5.097274178811219,0.773890209391735,0.0,0.0
PPK_20250611_A11,,2.996187486,2.0,0.0,1.0,1.8,1.8,6.0,20.0,0.0,0.0,100.0,52.20256410289374,1.4240914684491592,2.4110992726056977,0.0,1.0
PPK_20250611_A14,,2.996187486,2.0,0.0,1.0,1.8,1.8,6.0,20.0,0.0,0.0,100.0,56.16002110743404,1.4506259116272806,2.340034794803218,0.0,1.0
PPK_20250611_A17,,2.996187486,2.0,0.0,1.0,1.8,1.8,6.0,20.0,0.0,0.0,100.0,90.34605717932168,1.8105196010666509,1.9045344534594328,0.0,1.0
PPK_20250611_C11,,2.996187486,2.0,0.0,1.0,1.8,1.8,7.0,20.0,0.0,0.0,100.0,84.58265159907135,2.646939841389796,1.415084860616503,0.0,1.0
PPK_20250611_C13,,2.996187486,2.0,0.0,1.0,1.8,1.8,7.0,20.0,0.0,0.0,100.0,84.29146528257735,2.596487744768985,1.4328655081327455,0.0,1.0
PPK_20250611_C17,,2.996187486,2.0,0.0,1.0,1.8,1.8,7.0,20.0,0.0,0.0,100.0,86.13323858109885,2.63841904062112,1.4101262630839146,0.0,1.0
PPK_20250611_E11,,2.996187486,2.0,0.0,1.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,91.64358040666524,2.757645721981224,1.3930273847623262,0.0,1.0
PPK_20250611_E14,,2.996187486,2.0,0.0,1.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,92.07012452780684,2.747880895464753,1.400134441236683,0.0,1.0
PPK_20250611_E17,,2.996187486,2.0,0.0,1.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,89.65677604610676,2.798222448473351,1.3958362707003906,0.0,1.0
PPK_20250611_G11,,2.996187486,2.0,0.0,1.0,1.8,1.8,9.0,20.0,0.0,0.0,100.0,74.28620294981513,2.890765860513844,1.3516734321013577,0.0,1.0
PPK_20250611_G14,,2.996187486,2.0,0.0,1.0,1.8,1.8,9.0,20.0,0.0,0.0,100.0,68.24597093046246,2.893785137944104,1.357274777964509,0.0,1.0
PPK_20250611_G17,,2.996187486,2.0,0.0,1.0,1.8,1.8,9.0,20.0,0.0,0.0,100.0,73.80194149437413,2.9382173614310525,1.341577893633144,0.0,1.0
PPK_20250611_I11,,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,20.0,0.0,0.0,100.0,64.10426740882421,2.977396435348388,1.350104340575493,0.0,1.0
PPK_20250611_I14,,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,20.0,0.0,0.0,100.0,55.95086304124055,3.06264506830362,1.3472138714930315,0.0,1.0
PPK_20250611_I17,,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,20.0,0.0,0.0,100.0,59.16276569024475,2.877429918110484,1.3841460318343748,0.0,1.0
PPK_20250611_K11,,2.996187486,2.0,0.0,1.0,1.8,1.8,11.0,20.0,0.0,0.0,100.0,49.782932064874,3.0845337152529457,1.32391998131038,0.0,1.0
PPK_20250611_K14,,2.996187486,2.0,0.0,1.0,1.8,1.8,11.0,20.0,0.0,0.0,100.0,51.00817879177022,3.1296480361242023,1.3254863099452334,0.0,1.0
PPK_20250611_K17,,2.996187486,2.0,0.0,1.0,1.8,1.8,11.0,20.0,0.0,0.0,100.0,55.07743307721993,2.9857231206778025,1.3431906252293042,0.0,1.0
PPK_20250611_M11,,2.996187486,2.0,0.0,1.0,1.8,1.8,12.0,20.0,0.0,0.0,100.0,50.73887194428424,3.0983492823917773,1.305720830800935,0.0,1.0
PPK_20250611_M14,,2.996187486,2.0,0.0,1.0,1.8,1.8,12.0,20.0,0.0,0.0,100.0,49.48333096450702,3.102975064788628,1.3111600790736135,0.0,1.0
PPK_20250611_M17,,2.996187486,2.0,0.0,1.0,1.8,1.8,12.0,20.0,0.0,0.0,100.0,46.45219044432364,3.0783848356606147,1.3378456167990624,0.0,1.0
PPK_20250612_A19,,2.996187486,2.0,0.0,1.0,1.8,1.8,8.0,20.0,0.0,30.0,100.0,0.0256501397678076,5.841269841025949,2.260555553167758,1.0,1.0
PPK_20250612_A21,,2.996187486,2.0,0.0,1.0,1.8,1.8,8.0,20.0,0.0,30.0,100.0,0.0655962926330688,5.333333333146617,3.3438888851357347,1.0,1.0
PPK_20250612_A23,,2.996187486,2.0,0.0,1.0,1.8,1.8,8.0,20.0,0.0,30.0,100.0,0.0248575744371052,4.771929824321239,2.177222219684936,1.0,1.0
PPK_20250612_C19,,2.996187486,2.0,0.0,1.0,1.8,1.8,8.0,0.0,2.0,30.0,100.0,0.0274025903564058,4.317460317092691,1.6772222199695146,1.0,1.0
PPK_20250612_C21,,2.996187486,2.0,0.0,1.0,1.8,1.8,8.0,0.0,2.0,30.0,100.0,0.0324372197244378,3.368421052631583,1.5105555555555557,1.0,1.0
PPK_20250612_C23,,2.996187486,2.0,0.0,1.0,1.8,1.8,8.0,0.0,2.0,30.0,100.0,0.0333952376468581,4.444444443434187,2.843888885898586,1.0,1.0
PPK_20250612_E19,,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,0.0,2.0,30.0,100.0,0.0367618502728225,3.839999999638124,3.760555553854201,1.0,1.0
PPK_20250612_E21,,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,0.0,2.0,30.0,100.0,0.0327553164949161,5.090909090784858,0.8438888873473203,1.0,1.0
PPK_20250612_E23,,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,0.0,2.0,30.0,100.0,0.032631552378636,5.759999999738059,1.343888885932652,1.0,1.0
PPK_20250612_G19,,2.996187486,2.0,0.0,1.0,1.8,1.8,12.0,0.0,2.0,30.0,100.0,0.0357738304198638,2.9090909089414385,2.260555554935167,1.0,1.0
PPK_20250612_G21,,2.996187486,2.0,0.0,1.0,1.8,1.8,12.0,0.0,2.0,30.0,100.0,0.0406478266400276,3.555555555485292,2.0105555551097645,1.0,1.0
PPK_20250612_G23,,2.996187486,2.0,0.0,1.0,1.8,1.8,12.0,0.0,2.0,30.0,100.0,0.0669824517076435,4.631578947312506,3.010555554699329,1.0,1.0
PPK_20250612_I19,,2.996187486,2.0,0.0,1.0,1.8,1.8,14.0,0.0,2.0,30.0,100.0,5.490792456484133,1.7009646574376691,2.352722821083653,0.0,1.0
PPK_20250612_I21,,2.996187486,2.0,0.0,1.0,1.8,1.8,14.0,0.0,2.0,30.0,100.0,5.967736166576239,1.715593495708395,2.3308422182336077,0.0,1.0
PPK_20250612_I23,,2.996187486,2.0,0.0,1.0,1.8,1.8,14.0,0.0,2.0,30.0,100.0,9.426942441820977,1.7285424084367995,2.010440592250893,0.0,1.0
PPK_20250613_I1,,2.996187486,2.0,0.0,1.0,1.8,1.8,14.0,0.0,2.0,30.0,100.0,3.5956920398497374,1.5331514856616104,2.589722496521374,0.0,1.0
PPK_20250613_I4,,2.996187486,2.0,0.0,1.0,1.8,1.8,14.0,0.0,2.0,30.0,100.0,3.018505328143757,1.427350318279447,2.589722813015225,0.0,1.0
PPK_20250613_I7,,2.996187486,2.0,0.0,1.0,1.8,1.8,14.0,0.0,2.0,30.0,100.0,4.4019133367891135,1.5552280290009686,2.423056389568337,0.0,1.0
PPK_20250613_K1,,2.996187486,2.0,0.0,1.0,1.8,1.8,16.0,0.0,2.0,30.0,100.0,28.5725186551089,3.884234473143772,1.05914958882801,0.0,1.0
PPK_20250613_K4,,2.996187486,2.0,0.0,1.0,1.8,1.8,16.0,0.0,2.0,30.0,100.0,29.21039294597199,3.588864759037002,1.0774328603769343,0.0,1.0
PPK_20250613_K7,,2.996187486,2.0,0.0,1.0,1.8,1.8,16.0,0.0,2.0,30.0,100.0,28.63611883357352,3.7068476199431175,1.054083985392464,0.0,1.0
PPK_20250613_M1,,2.996187486,2.0,0.0,1.0,1.8,1.8,18.0,0.0,2.0,30.0,100.0,28.14036060848382,3.8412652650043255,1.0692342604922445,0.0,1.0
PPK_20250613_M4,,2.996187486,2.0,0.0,1.0,1.8,1.8,18.0,0.0,2.0,30.0,100.0,28.35930549469393,4.158279076972531,1.0234681018166143,0.0,1.0
PPK_20250613_M7,,2.996187486,2.0,0.0,1.0,1.8,1.8,18.0,0.0,2.0,30.0,100.0,27.28578603441189,4.458757935526728,0.9985036800250942,0.0,1.0
PPK_20250613_O1,,2.996187486,2.0,0.0,1.0,1.8,1.8,20.0,0.0,2.0,30.0,100.0,26.11893744869126,4.096020403583791,1.076235592288496,0.0,1.0
PPK_20250613_O4,,2.996187486,2.0,0.0,1.0,1.8,1.8,20.0,0.0,2.0,30.0,100.0,24.47529394627436,4.083880331563768,1.0647358987988305,0.0,1.0
PPK_20250613_O7,,2.996187486,2.0,0.0,1.0,1.8,1.8,20.0,0.0,2.0,30.0,100.0,22.50519750362625,4.620173178389495,1.0289071174719635,0.0,1.0
PPK_20250616_A1,,2.996187486,2.0,0.0,1.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,56.09666675515914,2.979131000542812,1.4709622761434595,0.0,1.0
PPK_20250616_A4,,2.996187486,2.0,0.0,1.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,59.29813636402283,2.9611655637504875,1.468948591241914,0.0,1.0
PPK_20250616_A7,,2.996187486,2.0,0.0,1.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,54.79977164721992,2.89059698207586,1.4731103778116816,0.0,1.0
PPK_20250616_E1,,2.996187486,2.0,0.0,1.0,1.8,1.8,18.0,0.0,2.0,30.0,100.0,12.886339601355274,3.0780249118629293,1.1465295949820948,0.0,1.0
PPK_20250616_E4,,2.996187486,2.0,0.0,1.0,1.8,1.8,18.0,0.0,2.0,30.0,100.0,13.045767216211136,2.9913124041678487,1.1904614551480557,0.0,1.0
PPK_20250616_E7,,2.996187486,2.0,0.0,1.0,1.8,1.8,18.0,0.0,2.0,30.0,100.0,12.540840619395976,3.027670472352501,1.173030299900245,0.0,1.0
PPK_20250616_G1,,2.996187486,2.0,0.0,1.0,1.8,1.8,18.0,20.0,2.0,30.0,100.0,114.11767510029226,2.501160718687324,1.6095298591795644,0.0,1.0
PPK_20250616_G4,,2.996187486,2.0,0.0,1.0,1.8,1.8,18.0,20.0,2.0,30.0,100.0,112.83334500276844,2.5115565225304333,1.598835985243857,0.0,1.0
PPK_20250616_G7,,2.996187486,2.0,0.0,1.0,1.8,1.8,18.0,20.0,2.0,30.0,100.0,110.5163357946161,2.5429587675597154,1.5834261757569768,0.0,1.0
Mg_K_screen-20251105_090558_A1,,5.0,0.0,2000.0,1.0,1.8,1.8,7.0,20.0,0.0,0.0,100.0,34.35991541696411,2.1189917017100712,1.423245178049889,0.0,1.0
Mg_K_screen-20251105_090558_A2,,5.0,0.0,2000.0,1.0,1.8,1.8,7.0,20.0,0.0,0.0,120.0,44.283727586602005,2.1054388292236283,1.4504699791495264,0.0,1.0
Mg_K_screen-20251105_090558_A3,,5.0,0.0,2000.0,1.0,1.8,1.8,7.0,20.0,0.0,0.0,140.0,51.93148732772012,2.093026302372597,1.4765665884960588,0.0,1.0
Mg_K_screen-20251105_090558_B1,,5.0,0.0,2000.0,1.0,1.8,1.8,7.0,20.0,0.0,0.0,120.0,36.23095768816541,2.093843886488457,1.4607748705285102,0.0,1.0
Mg_K_screen-20251105_090558_B2,,5.0,0.0,2000.0,1.0,1.8,1.8,7.0,20.0,0.0,0.0,100.0,32.92119756926079,2.0652178192030903,1.4245042960886554,0.0,1.0
Mg_K_screen-20251105_090558_B3,,5.0,0.0,2000.0,1.0,1.8,1.8,9.0,20.0,0.0,0.0,100.0,28.11864843373179,2.298428047712314,1.375698936286041,0.0,1.0
Mg_K_screen-20251105_090558_C1,,5.0,0.0,2000.0,1.0,1.8,1.8,7.0,20.0,0.0,0.0,140.0,47.45487601523061,2.0822469983999925,1.463887748014099,0.0,1.0
Mg_K_screen-20251105_090558_C2,,5.0,0.0,2000.0,1.0,1.8,1.8,15.0,20.0,0.0,0.0,140.0,3.814848666827222,2.049574117206804,1.709346766449654,0.0,1.0
Mg_K_screen-20251105_090558_C3,,5.0,0.0,2000.0,1.0,1.8,1.8,9.0,20.0,0.0,0.0,120.0,34.19633267965034,2.23360370628633,1.4189392028849956,0.0,1.0
Mg_K_screen-20251105_090558_D1,,5.0,0.0,2000.0,1.0,1.8,1.8,9.0,20.0,0.0,0.0,100.0,21.68270204764396,2.379287336434888,1.3455502538797757,0.0,1.0
Mg_K_screen-20251105_090558_D2,,5.0,0.0,2000.0,1.0,1.8,1.8,15.0,20.0,0.0,0.0,120.0,1.3212929173112955,1.505226375333808,1.5833340049292146,0.0,1.0
Mg_K_screen-20251105_090558_D3,,5.0,0.0,2000.0,1.0,1.8,1.8,9.0,20.0,0.0,0.0,140.0,41.03976644643205,2.181031401448989,1.4564554457782355,0.0,1.0
Mg_K_screen-20251105_090558_E1,,5.0,0.0,2000.0,1.0,1.8,1.8,9.0,20.0,0.0,0.0,120.0,25.81982836646953,2.3193966788213625,1.372860253291721,0.0,1.0
Mg_K_screen-20251105_090558_E2,,5.0,0.0,2000.0,1.0,1.8,1.8,15.0,20.0,0.0,0.0,100.0,0.9924753138126284,1.438759634156037,1.6666670316856618,0.0,1.0
Mg_K_screen-20251105_090558_E3,,5.0,0.0,2000.0,1.0,1.8,1.8,11.0,20.0,0.0,0.0,100.0,9.14919728116286,2.1098984065206765,1.5654509698354822,0.0,1.0
Mg_K_screen-20251105_090558_E4,,5.0,0.0,2000.0,1.0,1.8,1.8,15.0,20.0,0.0,0.0,140.0,1.756279471275696,1.635738627155716,1.5000017826022896,1.0,1.0
Mg_K_screen-20251105_090558_F1,,5.0,0.0,2000.0,1.0,1.8,1.8,9.0,20.0,0.0,0.0,140.0,38.33479690532588,2.193584481944622,1.436147558385049,0.0,1.0
Mg_K_screen-20251105_090558_F2,,5.0,0.0,2000.0,1.0,1.8,1.8,13.0,20.0,0.0,0.0,140.0,5.94206038085439,2.150754743977179,1.660682927109843,0.0,1.0
Mg_K_screen-20251105_090558_F3,,5.0,0.0,2000.0,1.0,1.8,1.8,11.0,20.0,0.0,0.0,120.0,14.28386350561196,2.533095554063011,1.4936481481828443,0.0,1.0
Mg_K_screen-20251105_090558_F4,,5.0,0.0,2000.0,1.0,1.8,1.8,15.0,20.0,0.0,0.0,120.0,1.1930071880174755,1.4949493862194092,1.5833341233028462,1.0,1.0
Mg_K_screen-20251105_090558_G1,,5.0,0.0,2000.0,1.0,1.8,1.8,11.0,20.0,0.0,0.0,100.0,6.734980801568621,2.3082288865880822,1.536300908944062,0.0,1.0
Mg_K_screen-20251105_090558_G2,,5.0,0.0,2000.0,1.0,1.8,1.8,13.0,20.0,0.0,0.0,120.0,4.317257685733444,1.9221081998841405,1.7581015831504316,0.0,1.0
Mg_K_screen-20251105_090558_G3,,5.0,0.0,2000.0,1.0,1.8,1.8,11.0,20.0,0.0,0.0,140.0,18.90845297667268,2.183658419961193,1.4988577981226716,0.0,1.0
Mg_K_screen-20251105_090558_G4,,5.0,0.0,2000.0,1.0,1.8,1.8,15.0,20.0,0.0,0.0,100.0,0.7156542646984732,1.3675213358134124,1.750000196158312,0.0,1.0
Mg_K_screen-20251105_090558_H1,,5.0,0.0,2000.0,1.0,1.8,1.8,11.0,20.0,0.0,0.0,120.0,13.302289624144978,2.596748478769496,1.436222686293358,0.0,1.0
Mg_K_screen-20251105_090558_H2,,5.0,0.0,2000.0,1.0,1.8,1.8,13.0,20.0,0.0,0.0,100.0,1.9742626588881853,1.6796946084474544,1.3333745181380068,1.0,1.0
Mg_K_screen-20251105_090558_H3,,5.0,0.0,2000.0,1.0,1.8,1.8,13.0,20.0,0.0,0.0,100.0,1.523277610464303,1.5421685510488632,1.5000010610026564,1.0,1.0
Mg_K_screen-20251105_090558_H4,,5.0,0.0,2000.0,1.0,1.8,1.8,13.0,20.0,0.0,0.0,140.0,5.513127094252147,2.1217987275182497,1.6972422603736432,0.0,1.0
Mg_K_screen-20251105_090558_I1,,5.0,0.0,2000.0,1.0,1.8,1.8,11.0,20.0,0.0,0.0,140.0,18.898695372214533,2.242707384051227,1.460223359693385,0.0,1.0
Mg_K_screen-20251105_090558_I2,,5.0,0.0,2000.0,1.0,1.8,1.8,11.0,20.0,0.0,0.0,140.0,20.70442646405749,2.411639770503512,1.4148712132892274,0.0,1.0
Mg_K_screen-20251105_090558_I3,,5.0,0.0,2000.0,1.0,1.8,1.8,13.0,20.0,0.0,0.0,120.0,2.8767582231500515,1.8291718967564567,1.831840053858656,0.0,1.0
Mg_K_screen-20251105_090558_I4,,5.0,0.0,2000.0,1.0,1.8,1.8,13.0,20.0,0.0,0.0,120.0,3.144172110432329,1.8689689468499964,1.8160487111111137,0.0,1.0
Mg_K_screen-20251105_090558_J1,,5.0,0.0,2000.0,1.0,1.8,1.8,13.0,20.0,0.0,0.0,100.0,2.135413114787975,1.6277054304459575,1.5000017428488694,0.0,1.0
Mg_K_screen-20251105_090558_J2,,5.0,0.0,2000.0,1.0,1.8,1.8,11.0,20.0,0.0,0.0,120.0,15.162967393023973,2.502062095728897,1.4883771390578335,0.0,1.0
Mg_K_screen-20251105_090558_J3,,5.0,0.0,2000.0,1.0,1.8,1.8,13.0,20.0,0.0,0.0,140.0,4.705080192352968,1.96914085952616,1.7609175568868485,0.0,1.0
Mg_K_screen-20251105_090558_J4,,5.0,0.0,2000.0,1.0,1.8,1.8,13.0,20.0,0.0,0.0,100.0,1.4505799606321177,1.576519788237997,1.5000010482410586,1.0,1.0
Mg_K_screen-20251105_090558_K1,,5.0,0.0,2000.0,1.0,1.8,1.8,13.0,20.0,0.0,0.0,120.0,2.440701581784309,1.7810956686509871,1.3333908767740583,1.0,1.0
Mg_K_screen-20251105_090558_K2,,5.0,0.0,2000.0,1.0,1.8,1.8,11.0,20.0,0.0,0.0,100.0,8.82102639450827,2.493622770509028,1.4751369183269376,0.0,1.0
Mg_K_screen-20251105_090558_K3,,5.0,0.0,2000.0,1.0,1.8,1.8,15.0,20.0,0.0,0.0,100.0,0.760980171766037,1.4371257083969111,1.6666669255293067,1.0,1.0
Mg_K_screen-20251105_090558_K4,,5.0,0.0,2000.0,1.0,1.8,1.8,11.0,20.0,0.0,0.0,140.0,15.565161521755288,2.5168343044985617,1.5005511044124578,0.0,1.0
Mg_K_screen-20251105_090558_L1,,5.0,0.0,2000.0,1.0,1.8,1.8,13.0,20.0,0.0,0.0,140.0,4.23445408421221,1.946658821998717,1.7327252431040892,0.0,1.0
Mg_K_screen-20251105_090558_L2,,5.0,0.0,2000.0,1.0,1.8,1.8,9.0,20.0,0.0,0.0,140.0,39.32535202998034,2.2261441399570776,1.4333711001753533,0.0,1.0
Mg_K_screen-20251105_090558_L3,,5.0,0.0,2000.0,1.0,1.8,1.8,15.0,20.0,0.0,0.0,120.0,1.128112469814902,1.4564925440587322,1.5833340025492126,1.0,1.0
Mg_K_screen-20251105_090558_L4,,5.0,0.0,2000.0,1.0,1.8,1.8,11.0,20.0,0.0,0.0,120.0,11.09476807203849,2.434288815338215,1.527570818979635,0.0,1.0
Mg_K_screen-20251105_090558_M1,,5.0,0.0,2000.0,1.0,1.8,1.8,15.0,20.0,0.0,0.0,100.0,0.5235062863523605,1.7283950570903606,1.583333352952489,0.0,1.0
Mg_K_screen-20251105_090558_M2,,5.0,0.0,2000.0,1.0,1.8,1.8,9.0,20.0,0.0,0.0,120.0,33.618649086567466,2.2366285125610874,1.411574082996105,0.0,1.0
Mg_K_screen-20251105_090558_M3,,5.0,0.0,2000.0,1.0,1.8,1.8,15.0,20.0,0.0,0.0,140.0,1.639223458210168,1.6648248668182983,1.5000015008557224,1.0,1.0
Mg_K_screen-20251105_090558_M4,,5.0,0.0,2000.0,1.0,1.8,1.8,11.0,20.0,0.0,0.0,100.0,7.122961702634417,2.331068141233646,1.563033759137321,0.0,1.0
Mg_K_screen-20251105_090558_N1,,5.0,0.0,2000.0,1.0,1.8,1.8,15.0,20.0,0.0,0.0,120.0,1.419702593431828,1.5833331100278123,1.3333349431515962,1.0,1.0
Mg_K_screen-20251105_090558_N2,,5.0,0.0,2000.0,1.0,1.8,1.8,9.0,20.0,0.0,0.0,100.0,22.14014552165676,2.2847227547655367,1.3616277633475482,0.0,1.0
Mg_K_screen-20251105_090558_N3,,5.0,0.0,2000.0,1.0,1.8,1.8,7.0,20.0,0.0,0.0,100.0,27.30114711338166,1.9947074102116824,1.498439181040647,0.0,1.0
Mg_K_screen-20251105_090558_N4,,5.0,0.0,2000.0,1.0,1.8,1.8,9.0,20.0,0.0,0.0,140.0,32.62810437995648,2.129008350420322,1.4666133116436566,0.0,1.0
Mg_K_screen-20251105_090558_O1,,5.0,0.0,2000.0,1.0,1.8,1.8,15.0,20.0,0.0,0.0,140.0,2.417631264740037,1.7777794745079507,1.4167198408511856,1.0,1.0
Mg_K_screen-20251105_090558_O2,,5.0,0.0,2000.0,1.0,1.8,1.8,7.0,20.0,0.0,0.0,140.0,52.57124020854364,2.084276256415949,1.4738352888868371,0.0,1.0
Mg_K_screen-20251105_090558_O3,,5.0,0.0,2000.0,1.0,1.8,1.8,7.0,20.0,0.0,0.0,120.0,38.14151564713591,2.081534679405987,1.47663885606224,0.0,1.0
Mg_K_screen-20251105_090558_O4,,5.0,0.0,2000.0,1.0,1.8,1.8,9.0,20.0,0.0,0.0,120.0,26.73649820225784,2.162077440608717,1.4332995190189777,0.0,1.0
Mg_K_screen-20251105_090558_P1,,5.0,0.0,2000.0,1.0,1.8,1.8,7.0,20.0,0.0,0.0,100.0,35.942818006237964,2.088428479714165,1.4399684838385989,0.0,1.0
