	Well	Row	Column	Experiment	Name	Type	Replicate	NEB Sol A (uL)	NEB Sol B (uL)	NEB Sol B -Ribos (uL)	OnePot PMx BE #1 (uL)	OnePot PMx BE #2 (uL)	OnePot PMx BE #3 (uL)	OnePot PMx BE #4 (uL)	OnePot PMx BE #5 (uL)	OnePot PMx OG #1 (uL)	b.next PMx (uL)	bn Ribosome (uL)	RNase Inhibitor (uL)	pT7-plamGFP (uL)	Ultrapure water (uL)	Mg2+ Supplement (mM)	OnePot SMx (uL)	Fresh SMx (uL)	OnePot tRNA (uL)	OnePot Ribos #1 (uL)	OnePot Ribos #2 (uL)	Poison	NEB Solution A (uL)	NEB Solution B (uL)	Dialysis Buffer #1 (uL)	Dialysis Buffer #2 (uL)	Dialysis Buffer #3 (uL)	ArgRS Protein (uL)	Ultrapure Water (uL)
10	N22	N	22	BE Unit Test	NEB -DNA	Control	1	10.0	7.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	6.25	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	O2	O	2	BE Unit Test	OnePot BE #1	Sample	2	10.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	O4	O	4	BE Unit Test	OnePot BE #2	Sample	2	10.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	O6	O	6	BE Unit Test	OnePot BE #3	Sample	2	10.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	O8	O	8	BE Unit Test	OnePot BE #4	Sample	2	10.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	O10	O	10	BE Unit Test	OnePot BE #5	Sample	2	10.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	O12	O	12	BE Unit Test	OnePot OG #1 +	Sample	2	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	O14	O	14	BE Unit Test	OnePot OG #1 -	Sample	2	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.5	1.25	0.0	8.25	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	O16	O	16	BE Unit Test	b.next +	Control	2	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	O18	O	18	BE Unit Test	Ribosome +	Control	2	10.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	O20	O	20	BE Unit Test	NEB +DNA	Control	2	10.0	7.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	O22	O	22	BE Unit Test	NEB -DNA	Control	2	10.0	7.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	6.25	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	B2	B	2	Full Send	OnePot BE #1	Sample	1	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	0.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	B4	B	4	Full Send	OnePot BE #1	Sample	1	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	0.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	B6	B	6	Full Send	OnePot BE #1	Sample	1	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	1.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	B8	B	8	Full Send	OnePot BE #1	Sample	1	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	1.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	B10	B	10	Full Send	OnePot BE #1	Sample	1	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	2.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	B12	B	12	Full Send	OnePot BE #1	Sample	1	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	2.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	B14	B	14	Full Send	OnePot BE #1	Sample	1	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	3.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	B16	B	16	Full Send	OnePot BE #1	Sample	1	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	3.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	D2	D	2	Full Send	OnePot BE #2	Sample	1	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	0.0	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	D4	D	4	Full Send	OnePot BE #2	Sample	1	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	0.5	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	D6	D	6	Full Send	OnePot BE #2	Sample	1	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	1.0	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	D8	D	8	Full Send	OnePot BE #2	Sample	1	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	1.5	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	D10	D	10	Full Send	OnePot BE #2	Sample	1	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	2.0	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	D12	D	12	Full Send	OnePot BE #2	Sample	1	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	2.5	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	D14	D	14	Full Send	OnePot BE #2	Sample	1	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	3.0	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	D16	D	16	Full Send	OnePot BE #2	Sample	1	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	3.5	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	F2	F	2	Full Send	OnePot OG #1 +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	0.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	F4	F	4	Full Send	OnePot OG #1 +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	0.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	F6	F	6	Full Send	OnePot OG #1 +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	1.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	F8	F	8	Full Send	OnePot OG #1 +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	1.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	F10	F	10	Full Send	OnePot OG #1 +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	2.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	F12	F	12	Full Send	OnePot OG #1 +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	2.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	F14	F	14	Full Send	OnePot OG #1 +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	3.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	F16	F	16	Full Send	OnePot OG #1 +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	3.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	H2	H	2	Full Send	OnePot OG #1 -	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	0.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	H4	H	4	Full Send	OnePot OG #1 -	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	0.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	H6	H	6	Full Send	OnePot OG #1 -	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	1.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	H8	H	8	Full Send	OnePot OG #1 -	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	1.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	H10	H	10	Full Send	OnePot OG #1 -	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	2.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	H12	H	12	Full Send	OnePot OG #1 -	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	2.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	H14	H	14	Full Send	OnePot OG #1 -	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	3.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	H16	H	16	Full Send	OnePot OG #1 -	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	3.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	J2	J	2	Full Send	b.next +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	0.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	J4	J	4	Full Send	b.next +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	0.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	J6	J	6	Full Send	b.next +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	1.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	J8	J	8	Full Send	b.next +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	1.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	J10	J	10	Full Send	b.next +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	2.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	J12	J	12	Full Send	b.next +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	2.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	J14	J	14	Full Send	b.next +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	3.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	J16	J	16	Full Send	b.next +	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	3.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	L2	L	2	Full Send	SMx +	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	0.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	L4	L	4	Full Send	SMx +	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	0.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	L6	L	6	Full Send	SMx +	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	1.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	L8	L	8	Full Send	SMx +	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	1.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	L10	L	10	Full Send	SMx +	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	2.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	L12	L	12	Full Send	SMx +	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	2.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	L14	L	14	Full Send	SMx +	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	3.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47	L16	L	16	Full Send	SMx +	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	3.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	C2	C	2	Full Send	OnePot BE #1	Sample	2	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	0.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	C4	C	4	Full Send	OnePot BE #1	Sample	2	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	0.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50	C6	C	6	Full Send	OnePot BE #1	Sample	2	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	1.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	C8	C	8	Full Send	OnePot BE #1	Sample	2	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	1.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52	C10	C	10	Full Send	OnePot BE #1	Sample	2	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	2.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	C12	C	12	Full Send	OnePot BE #1	Sample	2	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	2.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54	C14	C	14	Full Send	OnePot BE #1	Sample	2	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	3.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55	C16	C	16	Full Send	OnePot BE #1	Sample	2	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	3.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56	E2	E	2	Full Send	OnePot BE #2	Sample	2	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	0.0	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	E4	E	4	Full Send	OnePot BE #2	Sample	2	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	0.5	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	E6	E	6	Full Send	OnePot BE #2	Sample	2	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	1.0	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	E8	E	8	Full Send	OnePot BE #2	Sample	2	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	1.5	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
60	E10	E	10	Full Send	OnePot BE #2	Sample	2	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	2.0	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61	E12	E	12	Full Send	OnePot BE #2	Sample	2	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	2.5	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62	E14	E	14	Full Send	OnePot BE #2	Sample	2	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	3.0	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63	E16	E	16	Full Send	OnePot BE #2	Sample	2	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	4.5	3.5	7.5	0.0	2.5	0.0	2.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	G2	G	2	Full Send	OnePot OG #1 +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	0.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65	G4	G	4	Full Send	OnePot OG #1 +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	0.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66	G6	G	6	Full Send	OnePot OG #1 +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	1.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67	G8	G	8	Full Send	OnePot OG #1 +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	1.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68	G10	G	10	Full Send	OnePot OG #1 +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	2.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	G12	G	12	Full Send	OnePot OG #1 +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	2.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70	G14	G	14	Full Send	OnePot OG #1 +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	3.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71	G16	G	16	Full Send	OnePot OG #1 +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	3.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
