,Time,Temperature,Well,Data,Row,Column,Read,Plate,Clock Time,Reader,Name,[DNA] (nM),[PMix] (mg/mL),[Ribosome] (uM),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM),[ATP] (mM),[GTP] (mM),[Amino Acids] (mM),[tRNA] (ug/uL),hepes mM,ppk uM,polyphosphate mM,ctp mM,utp mM,tcep mM,folinic_acid mM,spermidine mM,rnas_inh U/ml,[Magnesium acetate] (mM) conc_to_add,[Magnesium acetate] (mM) vol_to_pipette_ul,[Creatine phosphate] (mM) conc_to_add,[Creatine phosphate] (mM) vol_to_pipette_ul,[Potassium glutamate] (mM) conc_to_add,[Potassium glutamate] (mM) vol_to_pipette_ul,[ATP] (mM) conc_to_add,[ATP] (mM) vol_to_pipette_ul,[GTP] (mM) conc_to_add,[GTP] (mM) vol_to_pipette_ul,[Amino Acids] (mM) conc_to_add,[Amino Acids] (mM) vol_to_pipette_ul,[tRNA] (ug/uL) conc_to_add,[tRNA] (ug/uL) vol_to_pipette_ul,base_master_mix_vol_to_add_ul,total_titration_vol_to_add_ul,buffer_vol_to_add_ul,total_vol_check_ul,Type
10,0 days 00:50:22,37.0,F9,106501,F,9,GFP-Gext,Plate 1,2026-03-19 12:52:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
11,0 days 00:55:22,37.0,F9,123873,F,9,GFP-Gext,Plate 1,2026-03-19 12:57:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
12,0 days 01:00:22,37.0,F9,141040,F,9,GFP-Gext,Plate 1,2026-03-19 13:02:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
13,0 days 01:05:22,37.0,F9,155482,F,9,GFP-Gext,Plate 1,2026-03-19 13:07:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
14,0 days 01:10:22,37.0,F9,168072,F,9,GFP-Gext,Plate 1,2026-03-19 13:12:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
15,0 days 01:15:22,37.0,F9,174741,F,9,GFP-Gext,Plate 1,2026-03-19 13:17:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
16,0 days 01:20:22,37.0,F9,185554,F,9,GFP-Gext,Plate 1,2026-03-19 13:22:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
17,0 days 01:25:22,37.1,F9,195765,F,9,GFP-Gext,Plate 1,2026-03-19 13:27:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
18,0 days 01:30:22,37.1,F9,200518,F,9,GFP-Gext,Plate 1,2026-03-19 13:32:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
19,0 days 01:35:22,37.0,F9,208934,F,9,GFP-Gext,Plate 1,2026-03-19 13:37:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
20,0 days 01:40:22,37.0,F9,214606,F,9,GFP-Gext,Plate 1,2026-03-19 13:42:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
21,0 days 01:45:22,37.0,F9,221415,F,9,GFP-Gext,Plate 1,2026-03-19 13:47:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
22,0 days 01:50:22,36.9,F9,229075,F,9,GFP-Gext,Plate 1,2026-03-19 13:52:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
23,0 days 01:55:22,37.0,F9,235537,F,9,GFP-Gext,Plate 1,2026-03-19 13:57:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
24,0 days 02:00:22,37.0,F9,242561,F,9,GFP-Gext,Plate 1,2026-03-19 14:02:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
25,0 days 02:05:22,37.0,F9,246134,F,9,GFP-Gext,Plate 1,2026-03-19 14:07:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
26,0 days 02:10:22,37.0,F9,252183,F,9,GFP-Gext,Plate 1,2026-03-19 14:12:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
27,0 days 02:15:22,37.0,F9,256976,F,9,GFP-Gext,Plate 1,2026-03-19 14:17:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
28,0 days 02:20:22,37.0,F9,263531,F,9,GFP-Gext,Plate 1,2026-03-19 14:22:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
29,0 days 02:25:22,37.0,F9,266859,F,9,GFP-Gext,Plate 1,2026-03-19 14:27:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
30,0 days 02:30:22,37.1,F9,270238,F,9,GFP-Gext,Plate 1,2026-03-19 14:32:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
31,0 days 02:35:22,37.0,F9,274217,F,9,GFP-Gext,Plate 1,2026-03-19 14:37:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
32,0 days 02:40:22,37.0,F9,278429,F,9,GFP-Gext,Plate 1,2026-03-19 14:42:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
33,0 days 02:45:22,37.1,F9,282586,F,9,GFP-Gext,Plate 1,2026-03-19 14:47:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
34,0 days 02:50:22,37.0,F9,284884,F,9,GFP-Gext,Plate 1,2026-03-19 14:52:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
35,0 days 02:55:22,37.0,F9,288370,F,9,GFP-Gext,Plate 1,2026-03-19 14:57:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
36,0 days 03:00:22,37.0,F9,290525,F,9,GFP-Gext,Plate 1,2026-03-19 15:02:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
37,0 days 03:05:22,37.0,F9,293771,F,9,GFP-Gext,Plate 1,2026-03-19 15:07:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
38,0 days 03:10:22,37.0,F9,296354,F,9,GFP-Gext,Plate 1,2026-03-19 15:12:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
39,0 days 03:15:22,37.0,F9,298155,F,9,GFP-Gext,Plate 1,2026-03-19 15:17:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
40,0 days 03:20:22,37.0,F9,302055,F,9,GFP-Gext,Plate 1,2026-03-19 15:22:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
41,0 days 03:25:22,37.1,F9,301251,F,9,GFP-Gext,Plate 1,2026-03-19 15:27:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
42,0 days 03:30:22,36.9,F9,303180,F,9,GFP-Gext,Plate 1,2026-03-19 15:32:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
43,0 days 03:35:22,37.1,F9,306944,F,9,GFP-Gext,Plate 1,2026-03-19 15:37:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
44,0 days 03:40:22,37.0,F9,307465,F,9,GFP-Gext,Plate 1,2026-03-19 15:42:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
45,0 days 03:45:22,37.0,F9,308313,F,9,GFP-Gext,Plate 1,2026-03-19 15:47:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
46,0 days 03:50:22,37.0,F9,307552,F,9,GFP-Gext,Plate 1,2026-03-19 15:52:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
47,0 days 03:55:22,37.1,F9,309428,F,9,GFP-Gext,Plate 1,2026-03-19 15:57:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
48,0 days 04:00:22,37.0,F9,308971,F,9,GFP-Gext,Plate 1,2026-03-19 16:02:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
49,0 days 04:05:22,37.1,F9,310559,F,9,GFP-Gext,Plate 1,2026-03-19 16:07:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
50,0 days 04:10:22,37.0,F9,309991,F,9,GFP-Gext,Plate 1,2026-03-19 16:12:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
51,0 days 04:15:22,37.0,F9,309539,F,9,GFP-Gext,Plate 1,2026-03-19 16:17:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
52,0 days 04:20:22,37.0,F9,310910,F,9,GFP-Gext,Plate 1,2026-03-19 16:22:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
53,0 days 04:25:22,37.1,F9,311678,F,9,GFP-Gext,Plate 1,2026-03-19 16:27:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
54,0 days 04:30:22,37.0,F9,311488,F,9,GFP-Gext,Plate 1,2026-03-19 16:32:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
55,0 days 04:35:22,37.0,F9,311280,F,9,GFP-Gext,Plate 1,2026-03-19 16:37:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
56,0 days 04:40:22,37.0,F9,310545,F,9,GFP-Gext,Plate 1,2026-03-19 16:42:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
57,0 days 04:45:22,37.0,F9,311400,F,9,GFP-Gext,Plate 1,2026-03-19 16:47:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
58,0 days 04:50:22,37.0,F9,313213,F,9,GFP-Gext,Plate 1,2026-03-19 16:52:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
