experiment_id,Plate,Well,Read,Experiment,Name,Type,PMix ID,Ribosome ID,SMS ID,tRNA ID,DNA ID,SMS Vol (uL),Water vol (uL),Reader,HasCP,Gain,Read Type,Read_new,[HEPES] (mM),[ATP] (mM),[GTP] (mM),[CTP] (mM),[UTP] (mM),[tRNA] (ug/uL),[TCEP] (mM),[Folinic acid] (mM),[Spermidine] (mM),[Amino acid mix] (mM),[DNA] (ng/uL),DNA MW (MDa),[DNA] (nM),Product,[PEG4K 40%] (%),[RNAse Inhib stock] (U/mL),[RNAse Inhib] (U/mL),IsNEB,Date,[PMix stock] (mg/mL),[Ribosome stock] (uM),[tRNA stock] (ug/uL),[DNA stock] (ng/uL),PMix Vol (uL),[PMix] (mg/mL),Ribosome Vol (uL),[Ribosome] (uM),tRNA Vol (uL),DNA Vol (uL),RNase Inhib Vol (uL),Rxn Volume (uL),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[PPK] (uM),[PolyP] (mM),[Potassium glutamate] (mM),sigmoid_steady_state (ng/uL),sigmoid_rate (1/h),sigmoid_time_offset (h),failure
PMix-AR-898_F10,1,F10,GFP-M-Gext,PMix-AR-898,AR-898 (15 mg/mL) + BE Rib (12.14 uM),Sample,AR-898,AR-898.1,AR-895,AR-838,AR-804,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,6.25,1.851,3.376553214,plamGFP,0.0,40000.0,2000.0,0.0,2025-12-03,15.0,12.14,35.0,125.0,1.2,1.8,1.8,2.1852,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,31.773224463653563,3.1313888308680826,1.294079705152874,False
PMix-AR-898_F12,1,F12,GFP-M-Gext,PMix-AR-898,AR-898 (15 mg/mL) + BE Rib (10 uM),Sample,AR-898,AR-898.1,AR-895,AR-838,AR-804,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,6.25,1.851,3.376553214,plamGFP,0.0,40000.0,2000.0,0.0,2025-12-03,15.0,10.0,35.0,125.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,31.772156850278588,3.3169542486078556,1.2802272591118964,False
PMix_(AR-931)_QC_PURE_Timecourse_B2,2,B2,GFP-M-Gext,PMix_(AR-931)_QC_PURE_Timecourse,AR-931 + AR-906,Sample,AR-931,AR-906,AR-895,AR-901,AR-931,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.9,1.851,3.187466234,plamGFP,0.0,40000.0,2000.0,0.0,2026-01-05,15.0,18.0,35.0,118.0,1.2,1.8,1.8,3.24,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,41.75266860217514,3.93522609422207,0.8994212562010326,False
PMix_(AR-931)_QC_PURE_Timecourse_B6,2,B6,GFP-M-Gext,PMix_(AR-931)_QC_PURE_Timecourse,AR-931 + AR-855,Sample,AR-931,AR-855,AR-895,AR-901,AR-931,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.9,1.851,3.187466234,plamGFP,0.0,40000.0,2000.0,0.0,2026-01-05,15.0,10.0,35.0,118.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,39.19062128430731,3.3467130859349496,0.9666317219328973,False
PMix_(AR-931)_QC_PURE_Timecourse_B8,2,B8,GFP-M-Gext,PMix_(AR-931)_QC_PURE_Timecourse,AR-931 + AR-904,Sample,AR-931,AR-904,AR-895,AR-901,AR-931,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.9,1.851,3.187466234,plamGFP,0.0,40000.0,2000.0,0.0,2026-01-05,15.0,10.0,35.0,118.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,41.04515916223137,3.059642701727876,1.0654344015446067,False
PMix_(AR-931)_QC_PURE_Timecourse_D2,2,D2,GFP-M-Gext,PMix_(AR-931)_QC_PURE_Timecourse,AR-931 + AR-906,Sample,AR-931,AR-906,AR-895,AR-901,AR-931,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.9,1.851,3.187466234,plamGFP,0.0,40000.0,2000.0,0.0,2026-01-05,15.0,18.0,35.0,118.0,1.2,1.8,1.8,3.24,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,41.217508390206774,3.888182028515544,0.8941306355408613,False
PMix_(AR-931)_QC_PURE_Timecourse_D6,2,D6,GFP-M-Gext,PMix_(AR-931)_QC_PURE_Timecourse,AR-931 + AR-855,Sample,AR-931,AR-855,AR-895,AR-901,AR-931,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.9,1.851,3.187466234,plamGFP,0.0,40000.0,2000.0,0.0,2026-01-05,15.0,10.0,35.0,118.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,38.708084441080416,3.326827859501217,0.9593142798216628,False
PMix_(AR-931)_QC_PURE_Timecourse_D8,2,D8,GFP-M-Gext,PMix_(AR-931)_QC_PURE_Timecourse,AR-931 + AR-904,Sample,AR-931,AR-904,AR-895,AR-901,AR-931,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.9,1.851,3.187466234,plamGFP,0.0,40000.0,2000.0,0.0,2026-01-05,15.0,10.0,35.0,118.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,42.6052321360505,3.2218120373617105,1.0339943414928603,False
PMix_(AR-931)_QC_PURE_Timecourse_F2,2,F2,GFP-M-Gext,PMix_(AR-931)_QC_PURE_Timecourse,AR-931 + AR-906,Sample,AR-931,AR-906,AR-895,AR-901,AR-931,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.9,1.851,3.187466234,plamGFP,0.0,40000.0,2000.0,0.0,2026-01-05,15.0,18.0,35.0,118.0,1.2,1.8,1.8,3.24,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,41.494819490953375,3.771032452065257,0.9111107283157266,False
PMix_(AR-931)_QC_PURE_Timecourse_F6,2,F6,GFP-M-Gext,PMix_(AR-931)_QC_PURE_Timecourse,AR-931 + AR-855,Sample,AR-931,AR-855,AR-895,AR-901,AR-931,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.9,1.851,3.187466234,plamGFP,0.0,40000.0,2000.0,0.0,2026-01-05,15.0,10.0,35.0,118.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,38.75487620687475,3.256657020361327,0.9656980356005724,False
PMix_(AR-931)_QC_PURE_Timecourse_F8,2,F8,GFP-M-Gext,PMix_(AR-931)_QC_PURE_Timecourse,AR-931 + AR-904,Sample,AR-931,AR-904,AR-895,AR-901,AR-931,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.9,1.851,3.187466234,plamGFP,0.0,40000.0,2000.0,0.0,2026-01-05,15.0,10.0,35.0,118.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,41.71873972326777,3.072077121731663,1.028351331805777,False
PMix-MFG-128-PURE-Activity-QC_B2,3,B2,GFP-M-Gext,PMix-MFG-128-PURE-Activity-QC,PMix AR-949 QC,Sample,AR-949,AR-904,AR-895,AR-901,AR-889,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.9,1.84,3.206521739,deGFP,0.0,40000.0,2000.0,0.0,2026-01-27,15.0,10.0,35.0,118.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,88.12530297775513,3.6750029958898867,0.9131589524730092,False
PMix-MFG-128-PURE-Activity-QC_B4,3,B4,GFP-M-Gext,PMix-MFG-128-PURE-Activity-QC,PMix AR-950 QC,Sample,AR-950,AR-904,AR-895,AR-901,AR-889,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.9,1.84,3.206521739,deGFP,0.0,40000.0,2000.0,0.0,2026-01-27,15.0,10.0,35.0,118.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,47.73265398059803,4.608317379104819,0.7496143528078958,False
PMix-MFG-128-PURE-Activity-QC_D2,3,D2,GFP-M-Gext,PMix-MFG-128-PURE-Activity-QC,PMix AR-949 QC,Sample,AR-949,AR-904,AR-895,AR-901,AR-889,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.9,1.84,3.206521739,deGFP,0.0,40000.0,2000.0,0.0,2026-01-27,15.0,10.0,35.0,118.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,103.7731838257158,3.447625920035028,0.9273666101497111,False
PMix-MFG-128-PURE-Activity-QC_D4,3,D4,GFP-M-Gext,PMix-MFG-128-PURE-Activity-QC,PMix AR-950 QC,Sample,AR-950,AR-904,AR-895,AR-901,AR-889,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.9,1.84,3.206521739,deGFP,0.0,40000.0,2000.0,0.0,2026-01-27,15.0,10.0,35.0,118.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,52.26120107870526,4.587369367733647,0.7439014230940477,False
PMix-MFG-128-PURE-Activity-QC_F2,3,F2,GFP-M-Gext,PMix-MFG-128-PURE-Activity-QC,PMix AR-949 QC,Sample,AR-949,AR-904,AR-895,AR-901,AR-889,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.9,1.84,3.206521739,deGFP,0.0,40000.0,2000.0,0.0,2026-01-27,15.0,10.0,35.0,118.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,99.66907192351515,3.2315516741931254,0.9581627343210586,False
PMix-MFG-128-PURE-Activity-QC_F4,3,F4,GFP-M-Gext,PMix-MFG-128-PURE-Activity-QC,PMix AR-950 QC,Sample,AR-950,AR-904,AR-895,AR-901,AR-889,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.9,1.84,3.206521739,deGFP,0.0,40000.0,2000.0,0.0,2026-01-27,15.0,10.0,35.0,118.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,56.95568228096034,5.097274178811219,0.773890209391735,False
PPK_20250611_A11,4,A11,GFP-F-G35,PPK_20250611,6 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,6.0,20.0,0.0,0.0,100.0,82.23223455241131,1.4717808500798524,2.1037908530756244,False
PPK_20250611_A14,4,A14,GFP-F-G35,PPK_20250611,6 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,6.0,20.0,0.0,0.0,100.0,87.18050206001313,1.5171588675202372,2.0081270353484184,False
PPK_20250611_A17,4,A17,GFP-F-G35,PPK_20250611,6 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,6.0,20.0,0.0,0.0,100.0,109.16329639895848,2.189794676003301,1.4305950605965077,False
PPK_20250611_C11,4,C11,GFP-F-G35,PPK_20250611,7 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,7.0,20.0,0.0,0.0,100.0,106.25123595590654,3.150807950513386,1.1243089901601597,False
PPK_20250611_C13,4,C13,GFP-F-G35,PPK_20250611,7 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,7.0,20.0,0.0,0.0,100.0,110.34729886721831,3.3093466262470237,1.0935004845208331,False
PPK_20250611_C17,4,C17,GFP-F-G35,PPK_20250611,7 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,7.0,20.0,0.0,0.0,100.0,108.605211036318,3.1651899536145125,1.1139430407036455,False
PPK_20250611_E11,4,E11,GFP-F-G35,PPK_20250611,8 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,8.0,20.0,0.0,0.0,100.0,110.85886785091557,3.4121531715263034,1.0984435039192322,False
PPK_20250611_E14,4,E14,GFP-F-G35,PPK_20250611,8 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,8.0,20.0,0.0,0.0,100.0,111.30051647957436,3.4163727852384196,1.0969417963024872,False
PPK_20250611_E17,4,E17,GFP-F-G35,PPK_20250611,8 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,8.0,20.0,0.0,0.0,100.0,114.14073581233654,3.5177791411605677,1.0803026773305353,False
PPK_20250611_G11,4,G11,GFP-F-G35,PPK_20250611,9 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,9.0,20.0,0.0,0.0,100.0,108.51064856665235,3.563588946973453,1.0884011358077206,False
PPK_20250611_G14,4,G14,GFP-F-G35,PPK_20250611,9 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,9.0,20.0,0.0,0.0,100.0,108.15101168013844,3.6540625605526595,1.080351349317616,False
PPK_20250611_G17,4,G17,GFP-F-G35,PPK_20250611,9 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,9.0,20.0,0.0,0.0,100.0,103.04393577877794,3.438622966889895,1.1207064102556947,False
PPK_20250611_I11,4,I11,GFP-F-G35,PPK_20250611,10 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,10.0,20.0,0.0,0.0,100.0,101.6576081934552,3.4895248778165673,1.1383478696534912,False
PPK_20250611_I14,4,I14,GFP-F-G35,PPK_20250611,10 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,10.0,20.0,0.0,0.0,100.0,100.81798538856592,3.456005065587196,1.1553253695482193,False
PPK_20250611_I17,4,I17,GFP-F-G35,PPK_20250611,10 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,10.0,20.0,0.0,0.0,100.0,101.14897746364626,3.3606778792628575,1.1721882523867702,False
PPK_20250611_K11,4,K11,GFP-F-G35,PPK_20250611,11 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,11.0,20.0,0.0,0.0,100.0,93.17336363089522,3.522845211095623,1.156743737554324,False
PPK_20250611_K14,4,K14,GFP-F-G35,PPK_20250611,11 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,11.0,20.0,0.0,0.0,100.0,95.72345995174666,3.4269508769039265,1.16629728387723,False
PPK_20250611_K17,4,K17,GFP-F-G35,PPK_20250611,11 mM,Sample,,,,,,,,Cytation3,1.0,35,F,GFP-F-G35,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,5.725714286,1.911,2.996187486,plamGFP,2.0,0.0,0.0,1.0,2025-06-11,15.0,10.0,35.0,120.0,1.2,1.8,1.8,1.8,1.0,0.477142857,0.0,10.0,11.0,20.0,0.0,0.0,100.0,92.94372638741388,3.500726979983157,1.1601349092245392,False
